prm,substrate,time,concentration_mM
e11,dioxane,0,1.189289018
e11,dioxane,0,1.289303319
e11,dioxane,0,1.107975347
e11,dioxane,3,0.990698926
e11,dioxane,3,0.899467107
e11,dioxane,3,0.862898669
e11,dioxane,6,0.653557608
e11,dioxane,6,0.689747491
e11,dioxane,6,0.697999996
e11,dioxane,9.5,0.478740787
e11,dioxane,9.5,0.438992484
e11,dioxane,9.5,0.476923721
e11,dioxane,20.5,nd
e11,dioxane,20.5,nd
e11,dioxane,20.5,nd
e11,thf,0,0.511707065
e11,thf,0,0.474940758
e11,thf,0,0.551747084
e11,thf,3,0.363760453
e11,thf,3,0.391398139
e11,thf,3,0.412740225
e11,thf,6,0.283932238
e11,thf,6,0.311444013
e11,thf,6,0.321642885
e11,thf,9,0.143414435
e11,thf,9,0.167904321
e11,thf,9,0.148891607
e11,thf,21,nd
e11,thf,21,nd
e11,thf,21,nd
e11,propane,0,0.88623109
e11,propane,0,0.845038789
e11,propane,0,0.836599206
e11,propane,3,0.839568414
e11,propane,3,0.784503496
e11,propane,3,0.787619491
e11,propane,6,0.814841961
e11,propane,6,0.782212209
e11,propane,6,0.780372227
e11,propane,9,0.823183686
e11,propane,9,0.760825793
e11,propane,9,0.769141123
e11,propane,21,0.720508418
e11,propane,21,0.66413594
e11,propane,21,0.658939181
env421,dioxane,0,0.861606232
env421,dioxane,0,0.838784256
env421,dioxane,0,0.766888797
env421,dioxane,3,0.721930752
env421,dioxane,3,0.711517446
env421,dioxane,3,0.734152357
env421,dioxane,6,0.511793981
env421,dioxane,6,0.518029493
env421,dioxane,6,0.516720036
env421,dioxane,9,0.284821326
env421,dioxane,9,0.279084654
env421,dioxane,9,0.290308577
env421,dioxane,21,nd
env421,dioxane,21,nd
env421,dioxane,21,nd
env421,thf,0,0.459303762
env421,thf,0,0.459951129
env421,thf,0,0.443468173
env421,thf,3,0.289643849
env421,thf,3,0.294922378
env421,thf,3,0.29566934
env421,thf,6,0.055396642
env421,thf,6,0.067696612
env421,thf,6,0.060177197
env421,thf,9,nd
env421,thf,9,nd
env421,thf,9,nd
env421,thf,21,nd
env421,thf,21,nd
env421,thf,21,nd
env421,propane,0,0.88101362
env421,propane,0,0.850981798
env421,propane,0,0.854838151
env421,propane,3,0.836387219
env421,propane,3,0.797520993
env421,propane,3,0.800083081
env421,propane,6,0.76552481
env421,propane,6,0.768784131
env421,propane,6,0.776558768
env421,propane,9,0.726789402
env421,propane,9,0.698971052
env421,propane,9,0.700828253
env421,propane,21,0.484837666
env421,propane,21,0.472689665
env421,propane,21,0.465204499
control_abiotic_blank,dioxane,0,0.860982681
control_abiotic_blank,dioxane,0,0.845206834
control_abiotic_blank,dioxane,0,0.847264553
control_abiotic_blank,dioxane,3,0.825066129
control_abiotic_blank,dioxane,3,0.820514205
control_abiotic_blank,dioxane,3,0.867841745
control_abiotic_blank,dioxane,6,0.87033595
control_abiotic_blank,dioxane,6,0.844209152
control_abiotic_blank,dioxane,6,0.872643089
control_abiotic_blank,dioxane,9,0.878442116
control_abiotic_blank,dioxane,9,0.801059406
control_abiotic_blank,dioxane,9,0.885987086
control_abiotic_blank,dioxane,21,0.820202429
control_abiotic_blank,dioxane,21,0.834419398
control_abiotic_blank,dioxane,21,0.809913834
control_abiotic_blank,thf,0,0.459602547
control_abiotic_blank,thf,0,0.432861316
control_abiotic_blank,thf,0,0.393571128
control_abiotic_blank,thf,3,0.422852028
control_abiotic_blank,thf,3,0.41851965
control_abiotic_blank,thf,3,0.427532989
control_abiotic_blank,thf,6,0.403032643
control_abiotic_blank,thf,6,0.417722891
control_abiotic_blank,thf,6,0.430471038
control_abiotic_blank,thf,9,0.416428157
control_abiotic_blank,thf,9,0.425292103
control_abiotic_blank,thf,9,0.397455329
control_abiotic_blank,thf,21,0.412842741
control_abiotic_blank,thf,21,0.417025727
control_abiotic_blank,thf,21,0.446854399
control_abiotic_blank,propane,0,0.717651142
control_abiotic_blank,propane,0,0.777966601
control_abiotic_blank,propane,0,0.863682537
control_abiotic_blank,propane,3,0.703028399
control_abiotic_blank,propane,3,0.763858749
control_abiotic_blank,propane,3,0.84306656
control_abiotic_blank,propane,6,0.692667132
control_abiotic_blank,propane,6,0.762604465
control_abiotic_blank,propane,6,0.853102462
control_abiotic_blank,propane,9,0.693887253
control_abiotic_blank,propane,9,0.759698137
control_abiotic_blank,propane,9,0.842963257
control_abiotic_blank,propane,21,0.694293147
control_abiotic_blank,propane,21,0.76342764
control_abiotic_blank,propane,21,0.834806341
control_biotic_empty_vector,dioxane,0,0.961935628
control_biotic_empty_vector,dioxane,0,0.984819959
control_biotic_empty_vector,dioxane,3,0.992302574
control_biotic_empty_vector,dioxane,3,0.924771974
control_biotic_empty_vector,dioxane,6,0.91024323
control_biotic_empty_vector,dioxane,6,0.908372576
control_biotic_empty_vector,dioxane,9,0.918287041
control_biotic_empty_vector,dioxane,9,0.932504009
control_biotic_empty_vector,dioxane,21,0.873890192
control_biotic_empty_vector,dioxane,21,0.878691536
control_biotic_empty_vector,thf,0,0.430919215
control_biotic_empty_vector,thf,0,0.463237761
control_biotic_empty_vector,thf,0,0.455967333
control_biotic_empty_vector,thf,3,0.461943027
control_biotic_empty_vector,thf,3,0.439135795
control_biotic_empty_vector,thf,3,0.431068608
control_biotic_empty_vector,thf,6,0.4585568
control_biotic_empty_vector,thf,6,0.428379545
control_biotic_empty_vector,thf,6,0.432363341
control_biotic_empty_vector,thf,9,0.449991639
control_biotic_empty_vector,thf,9,0.484800057
control_biotic_empty_vector,thf,9,0.462341406
control_biotic_empty_vector,thf,21,0.41403788
control_biotic_empty_vector,thf,21,0.399795809
control_biotic_empty_vector,thf,21,0.485447423
control_biotic_empty_vector,propane,0,0.711497665
control_biotic_empty_vector,propane,0,0.743039419
control_biotic_empty_vector,propane,0,0.797037091
control_biotic_empty_vector,propane,3,0.702952752
control_biotic_empty_vector,propane,3,0.72789121
control_biotic_empty_vector,propane,3,0.787604743
control_biotic_empty_vector,propane,6,0.707873906
control_biotic_empty_vector,propane,6,0.728939701
control_biotic_empty_vector,propane,6,0.788269302
control_biotic_empty_vector,propane,9,0.696587788
control_biotic_empty_vector,propane,9,0.728687543
control_biotic_empty_vector,propane,9,0.78912176
control_biotic_empty_vector,propane,21,0.721149635
control_biotic_empty_vector,propane,21,0.645508644
control_biotic_empty_vector,propane,21,0.81054627
