prm,substrate,group,initial_substrate_concentration_ppb,velocity
e11,dioxane,1,232.2845988,0.049736714
e11,dioxane,1,210.7342946,0.043857951
e11,dioxane,1,218.6186844,0.043838103
e11,dioxane,2,1184.887783,0.262711754
e11,dioxane,2,1195.462032,0.246957303
e11,dioxane,2,1069.616312,0.225699855
env421,dioxane,1,217.7792397,0.037820248
env421,dioxane,1,248.6584479,0.046998994
env421,dioxane,1,246.8230024,0.04532748
env421,dioxane,2,962.9204361,0.200680377
env421,dioxane,2,951.5295162,0.148021941
env421,dioxane,2,1101.501331,0.20871887
