prm,substrate,group,initial_substrate_concentration,velocity
e11,dioxane,1,7.886636027,0.004290661
e11,dioxane,1,7.948551987,0.003498932
e11,dioxane,1,8.945398945,0.004733348
e11,dioxane,2,40.13865965,0.010352071
e11,dioxane,2,41.66179227,0.010088161
e11,dioxane,2,38.8198497,0.007866212
e11,dioxane,3,91.27505111,0.01057909
e11,dioxane,3,89.07084293,0.015516755
e11,dioxane,3,87.50436914,0.01248605
e11,dioxane,4,170.4036481,0.016379427
e11,dioxane,4,180.9107866,0.015983176
e11,dioxane,4,162.2740826,0.012111469
e11,dioxane,5,324.4381737,0.012229235
e11,dioxane,5,323.5775419,0.015230143
e11,dioxane,5,359.7736121,0.019787552
e11,dioxane,6,638.9588679,0.019307974
e11,dioxane,6,627.9130606,0.015453809
e11,dioxane,6,623.6532426,0.017286085
env421,dioxane,1,7.802006242,0.003355322
env421,dioxane,1,8.639859259,0.003568515
env421,dioxane,1,8.492002844,0.003657072
env421,dioxane,2,43.62022271,0.007586374
env421,dioxane,2,39.03667385,0.005316693
env421,dioxane,2,39.65274225,0.005379011
env421,dioxane,3,84.46555727,0.007228866
env421,dioxane,3,81.47146487,0.008619537
env421,dioxane,3,86.89902743,0.008914727
env421,dioxane,4,181.9891841,0.018534629
env421,dioxane,4,164.098558,0.010708824
env421,dioxane,4,181.2930269,0.020017137
env421,dioxane,5,366.858988,0.025893598
env421,dioxane,5,378.730626,0.031194985
env421,dioxane,5,367.0438085,0.030352055
env421,dioxane,6,731.8856725,0.032545204
env421,dioxane,6,691.175873,0.027570712
env421,dioxane,7,981.1051822,0.02771271
env421,dioxane,7,991.9929092,0.035272126
env421,dioxane,7,966.6510957,0.032422867
ph06,propane,1,0.056753121,0.181319237
ph06,propane,1,0.057005893,0.1683785
ph06,propane,1,0.061884802,0.178048107
ph06,propane,2,0.170806211,0.29563935
ph06,propane,2,0.160914843,0.305591393
ph06,propane,2,0.154449371,0.311080936
ph06,propane,3,0.346993741,0.517932452
ph06,propane,3,0.331835421,0.379107103
ph06,propane,3,0.381991543,0.496965377
ph06,propane,4,0.73194377,0.618402895
ph06,propane,4,0.75909703,0.580361237
ph06,propane,4,0.81377497,0.494690478
ph06,propane,5,1.107647832,0.761603446
ph06,propane,5,1.152495733,0.594051715
ph06,propane,5,1.223321302,0.640638368
e11,propane,1,0.057265544,0.622200639
e11,propane,1,0.058071435,0.580849984
e11,propane,1,0.061621712,0.614288987
e11,propane,2,0.1644164,0.644668361
e11,propane,2,0.150973607,0.722200269
e11,propane,2,0.149843296,0.707961578
e11,propane,3,0.37297542,0.745398649
e11,propane,3,0.398494544,0.736776889
e11,propane,4,0.808722387,0.820220273
e11,propane,4,0.86035846,0.753572881
e11,propane,5,1.298831472,1.014072876
e11,propane,5,1.296212039,0.806691691
e11,propane,5,1.370652654,0.812080291
env421,propane,1,0.057804906,0.406930714
env421,propane,1,0.057343496,0.41015152
env421,propane,1,0.062998491,0.42746335
env421,propane,2,0.220148418,0.707303704
env421,propane,2,0.2283661,0.761687664
env421,propane,2,0.24477166,0.744080045
env421,propane,3,0.414718979,0.803870358
env421,propane,3,0.375288775,0.817747757
env421,propane,3,0.409314464,0.881194342
env421,propane,4,0.881673308,1.03314735
env421,propane,4,0.964987324,0.924929924
env421,propane,4,0.968430417,1.057960699
env421,propane,5,1.195212552,1.053178789
env421,propane,5,1.338638828,1.312806944
env421,propane,5,1.373846414,1.218688759
