,between_var_scaled,F_score,p_value
Volume,1.0196286230660854,28.132739220462913,2.0916973961466185e-06
Number_of_Alpha_Spheres,0.9326920973411247,19.16503597074665,2.776678419139384e-05
n_atoms,0.990109198,18.720183515508857,3.221482901986118e-05
Mean_local_hydrophobic_density,0.9106842729815151,18.158142590583758,3.8999195034655476e-05
Flexibility,0.8793205409666423,15.74718777714425,9.275784576267365e-05
Cent._of_mass___Alpha_Sphere_max_dist,0.6295677496919483,8.490334514835006,0.002320072
Total_SASA,0.6203741290046403,8.330006543689244,0.002526009
Volume_score,0.8274749020282405,8.209531065770712,0.002694059
Apolar_SASA,0.5963474839883446,7.820734112383685,0.003326553
Score,0.6828343826846917,7.292182091534918,0.00446536
Hydrophobicity_score,0.6047990786649419,6.694140405698047,0.006301939
Druggability_Score,0.48542569616716363,5.559120687598285,0.012568339938714906
Alpha_sphere_density,0.5183003381127747,5.2620577508943365,0.015187235
Mean_alpha_sphere_radius,0.3618042099940124,3.523080052821004,0.049956730049261454
centroid_distance_A,0.380155059,3.3048342949032814,0.058657237
Proportion_of_polar_atoms,0.3748451033774994,3.191771135965923,0.063813571
min_atom_distance_A,0.37240209596697366,2.292485667,0.12826948709972574
Mean_alp._sph._solvent_access,0.093544832,0.6115680768085583,0.5528386580390366
Charge_score,0.076825397,0.575757576,0.5717892782078516
Polar_SASA,0.065735636,0.36797816713964243,0.6969578929458413
Polarity_score,0.040969388,0.2974217311233763,0.7461259150768891
Apolar_alpha_sphere_proportion,0.016683665259235283,0.11418803589646917,0.8926977443034403
